Aeg;Mis koolis käid?;Mis on sinu sugu? ;Mitmendas klassis õpid?;Kui pikk on sinu koolitee?;Kui Tihti sõidad autoga kooli?;Kui Tihti sõidad ühistranspordiga kooli?;Kui Tihti lähed jalgsi kooli?;Kui Tihti sõidad jalgrattaga kooli?;Kui Tihti lähed motoriseeritud kaherattalisega kooli?;Kui Tihti sõidad ise kooli?;Miks just see vahend kooli minekuks?;Kui tihti tuled autoga koolist?;Kui tihti viiakse autoga kuni ühistranspordi peatuseni?;Kui tihti tuled ühistranspordiga koolist?;Kui tihti jalgsi koolist?;Kui tihti tuled jalgrattaga koolist?;Kui tihti tuled motoriseeritud kaherattalisega koolist?;Kui tihti sõidad ise koolist?;Miks just see vahend koolist tulemiseks?;Kui turvaliseks pead kooliteed kui sind viiakse autoga?;Milliseid ohte oskad välja tuua?;Kui palju aega kulub sul tavaliselt autoga kooli / koolist koju minemiseks?;Mis põhjustel sind autoga kooli viiakse?;Kui oluliseks pead koolitee valikul mõju oma tervisele?;Kui oluliseks pead koolitee valikul mõju keskkonnale?;Mis see sinu jaoks muudaks kui hakkaksid rohkem iseseisvalt koolis käima?;Kui palju aega kulub sul tavaliselt iseseisvalt kooli minemiseks / koolist koju tulemiseks?;Kas ja mis tingimustel sa oleks valmis/nõus rohkem iseseisvalt koolis käima?;Kui heaks hindad oma liikluskäitumist?;Kui palju keskmiselt liigud (õues / trennid jms) igapäevaselt?;Kui turvaliseks hindad oma kooliteed kui lähed kooli iseseisvalt (jalgsi jalgrattaga ühistranspordiga vms)?;Kas kooliteel esineb järgnevaid ohte? Märgi kõik ohud;Milliseid sinu hinnangul ohtlikke liiklussituatsioone oled kooli ümbruses liigeldes tähele pannud?;Kirjelda lastevanemate liikluskäitumist kooli ümbruses?;Milline on sinu enda liikluskäitumine kooli ümbruses?;Kas sinu hinnangul saaks kool midagi kooli ümbruse ohutumaks muutmiseks teha?;Milliseid muid lahendusi pakud välja selleks et kooli ümbrust ohutumaks muuta?
26.11.2019 21:29;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;Kuni 1 km;Pooltel kordadel n�dalas;Tihti;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;Meeldib autoga minna, saab kõige kiiremini. Bussiga läheb kaua aega. Jalgsi kardan, et hilinen.;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Nii on kõige mõnusam.;Ohutu;Autod.;alla 5 minuti;Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Pean v�ga oluliseks;Nii ja naa;Kardaksin rohkem.;11-20 minutit;Käin piisavalt ise.;V�ga hea;21-30 minutit;T�iesti ohutu;Reguleerimata ülekäigurajad;;;;;
26.11.2019 22:18;Tallinna Järveotsa Gümnaasium;Mees;4.-6.;5-10 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest see on ohutum. ;Pooltel kordadel n�dalas;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kui vanemad on läheduses siis tulevad järgi aga kui mitte siis lähen bussiga. ;T�iesti ohutu;Auto avarii. ;5-10 minutit;Sest nii on ohutum;Pean oluliseks;Pean v�ga oluliseks;Oleks natukene ohtlikum. ;31-45 minutit;Võiksin praegu ka käia. ;Hea;rohkem kui 60 minutit;Suhteliselt ohutu;;;;;;
26.11.2019 23:00;Tallinna Järveotsa Gümnaasium;Mees;4.-6.;Üle 10 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;vanemad lähevad linna tööle ja viivad minu kooli;Pooltel kordadel n�dalas;Mitte kunagi;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ohutu;;46-60 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Nii ja naa;Nii ja naa;saaksin iseseisvamaks;46-60 minutit;kui linnas elaksime;Hea;46-60 minutit;Suhteliselt ohutu;Halvasti valgustatud tänavad+Minu arvates ei kooliteel mingeid ohte;pole näinud;normaalne;normaalne;ei tea;tuleb olla tähelepanelik ja mitte tormata
27.11.2019 19:32;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;1-5 km;Pooltel kordadel n�dalas;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;sest teistmoodi ei saa või ei ole sobiv ilm;Pooltel kordadel n�dalas;Mitte kunagi;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ohutu;võib juhtuda atoavarii;5-10 minutit;Halva ilma korral, Siis kui ise palun, et mind viidaks autoga, Kui olen hiljaks jäämas;Nii ja naa;Nii ja naa;ma oleks rohkem iseseisev;21-30 minutit;mitte mingil tingimusel sest ma olen juba käinud ise;V�ga hea;46-60 minutit;Suhteliselt ohutu;Halvasti valgustatud tänavad+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju;minu arust ei ole;nad sõidavad kiiresti ja on kurjad;tähelepanelik;ma arvan et saaks aga mulle meeldib väga oma kool ja selle ümbruses on väga vähe miinuseid ;
27.11.2019 21:12;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest koolini on 100-200 meetrit.;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest koolini on 100-200 meetrit.;T�iesti ohutu;;alla 5 minuti;mind ei viida autoga kooli sest kool on paari meetri kaugusel koolist;Nii ja naa;Nii ja naa;Käin niigi iseseisvalt koolis;alla 5 minuti;Ma käin niigi iseseisvalt koolis;Hea;rohkem kui 60 minutit;Suhteliselt ohutu;Lubatud sõidukiirust ületavad juhid;Ühel pool aeda ei ole ülekäigu rada.;;;Teha rohkem ülekäigu radu.;
28.11.2019 16:19;Tallinna Järveotsa Gümnaasium;Mees;4.-6.;Kuni 1 km;Tihti;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Vanemad siis sõidavad tööle;Harva;Mitte kunagi;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest kodu on lähedal ja vanemad on tööl;Ohutu;Lollid inimesed;5-10 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Pean oluliseks;Pean oluliseks;Midagi;11-20 minutit;Minule kõik sobib;Hea;21-30 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Midagi;Midagi erilist;Normaalne;Midagi;Et politsei jälgiks auto kiirust
28.11.2019 20:04;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;1-5 km;Pooltel kordadel n�dalas;Harva;Tihti;Tihti;Mitte kunagi;Mitte kunagi;Tavaliselt sõidan kooli ainult tõukerattaga kuna kool väga lähedal. Talviti või külmadel ilmadel tuuakse mind koolile lähemale.;Harva;Mitte kunagi;Pooltel kordadel n�dalas;Tihti;Tihti;Mitte kunagi;Mitte kunagi;Autoga ei lähe tavaliselt kunagi koolist koju. Ainult pärast trenni kui on juba pime või kui mul on halb olla.;Ohutu;lapsed;alla 5 minuti;Halva ilma korral, Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Pean v�ga oluliseks;Pean v�ga oluliseks;Käin enda arust piisavalt palju iseseisvalt.;5-10 minutit;Kui mul on tõukerattas meeldib mulle rohkem ise kooli/koolist koju minna;V�ga hea;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju;Kooli juures on alati nii palju autosi et raske on üle tee minna. Vahest ei lase autod mind üle tee.;Liiga paljud lapsevanemad viivad oma lapsi kooli ette/ väga lähedale.;;;Ülekäigurada. 
28.11.2019 23:46;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;1-5 km;Mitte kunagi;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest nad kõige lihtsamad ja ei vaja kellegi teise abi. Näiteks nagu keegi viib sind kooli autoga.;Mitte kunagi;Mitte kunagi;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kõige lihtsam võimalus.;Nii ja naa;Avarii (autode põrge, teelt välja lendamine);alla 5 minuti;Kui on plaanid kuskile kaugele minna ja keegi on ka teel sinna.;Nii ja naa;Pean oluliseks;Ma juba käi päris iseseisvalt, et siis ei tea mida vastata.;11-20 minutit;Ma juba käin ise koolis ja võin öelda, et sa ei raiska teiste aega.;Hea;46-60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Lubatud sõidukiirust ületavad juhid;;;Tavaline ja rahulik.;Minu meelest on kõik päris korras.;
29.11.2019 17:16;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;Üle 10 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;kõige kiirem/turavlisem/mugavam minu jaoks;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest minu ja mu vanemate graafikud on erinevad;Nii ja naa;möödasõit, Teised juhid.;31-45 minutit;Halva ilma korral, Sest kool jääb ema / isa töökoha tee peale (või enamvähem), Siis kui ise palun, et mind viidaks autoga, Kui olen hiljaks jäämas, Sest nii on ohutum;Ei pea �ldse oluliseks;Ei pea �ldse oluliseks;Varem ärkamine.;46-60 minutit;Kui mul vanemaid poleks, Endal lubasid ei oleks ja kui mul on aega/und piisavalt;Halb;rohkem kui 60 minutit;Suhteliselt ohutu;Halvasti valgustatud tänavad+Suurem oht langeda kuriteo ohvriks+Lubatud sõidukiirust ületavad juhid;Autodega sõidetakse kooliterritooriumile kus kõnnivad väiksed lapsed.;Viisakalt peetakse liiklusnõuetest kinni, Lastakse kooli aia taga auotst välja. autoga kooli territooriumile ei trügi;kõnnin võimalikult vähe teel kus sõidavad autod;kooliala teha ligipääsetavaks ainult õpetajatel(kiibistiku/numbrimärgiga ligipääs ainult).;
29.11.2019 22:35;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;ei oska vastata;Harva;Mitte kunagi;Alati;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Sest mul on lühike maa koolini;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;Ei oska;5-10 minutit;Halva ilma korral, Siis kui ise palun, et mind viidaks autoga;Nii ja naa;Nii ja naa;Ma käingi ise;5-10 minutit;Ma nagunii käin ise;Hea;rohkem kui 60 minutit;Suhteliselt ohutu;Halvasti valgustatud tänavad+Suurem oht langeda kuriteo ohvriks+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;;;Hea;;
